Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;DNP;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock
11;1;C29;0.8p;alecot:GRM1555C1HR80BA01D;alecot:CAPC1005X55N;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf;;Murata 0402 GRM 0.8pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-0.1pF SMD;0.55;Murata Electronics;GRM1555C1HR80BA01D;81-GRM1555C1HR80BA1D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D
12;1;C30;0.3p;alecot:GRM1555C1HR30WA01D;alecot:CAPC1005X55N;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf;;Murata 0402 GRM 0.3pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-0.05pF SMD;0.55;Murata Electronics;GRM1555C1HR30WA01D;81-GRM1555C1HR30WA1D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D
13;2;C33, C35;n.f.;alecot:GRM1555C1HR80BA01D;alecot:CAPC1005X55N;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf;;Murata 0402 GRM 0.8pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-0.1pF SMD;0.55;Murata Electronics;GRM1555C1HR80BA01D;81-GRM1555C1HR80BA1D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D
14;1;C34;10n;alecot:GCM188R72A103KA37J;alecot:CAPC1608X90N;https://psearch.en.murata.com/capacitor/product/GCM188R72A103KA37%23.html;;Capacitor GCM18 L=1.6mm W=0.8mm T=0.8mm;0.9;Murata Electronics;GCM188R72A103KA37J;81-GCM188R72A103KA7J;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM188R72A103KA37J?qs=XuOgWozpmAS9MToLIJ09hw%3D%3D
15;2;D1, D2;1N4007RLG;alecot:1N4007RLG;alecot:DIOAD1405W86L465D235;http://www.onsemi.com/pub/Collateral/1N4001-D.PDF;;1N4007RLG ON Semiconductor 1N4007RLG Rectifier Diode, 1A, 1000V, 2-Pin DO-41;;onsemi;1N4007RLG;863-1N4007RLG;https://www.mouser.co.uk/ProductDetail/onsemi/1N4007RLG?qs=y2kkmE52mdNdleuoURVocQ%3D%3D
16;1;D4;S1AB-13-F;alecot:S1AB-13-F;alecot:DIOM5336X250N;https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-0/sf-0003177.pdf;;Diode Switching 50V 1A 2Pin SMB Diodes Inc S1AB-13-F Switching Diode, 1A 50V, 2-Pin SMB;2.5;Diodes Inc.;S1AB-13-F;621-S1AB-F;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/S1AB-13-F?qs=rsz8n9DZaJKkxz2CBFNDKw%3D%3D
17;2;D5, D6;PD3S120L-7;alecot:PD3S120L-7;alecot:PD3S120L7;https://www.diodes.com/assets/Datasheets/ds30793.pdf;;Diodes Inc PD3S120L-7, SMT Schottky Diode, 20V 1A, 2-Pin PowerDI 323;0.7;Diodes Inc.;PD3S120L-7;621-PD3S120L-7;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/PD3S120L-7?qs=DwnLFiA34IKoHhF0iaI0Cw%3D%3D
18;1;FB1;120R;alecot:BLM18KG121TN1D;alecot:BLM18EG101TH1D;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb;;BLM18_N1D Series EMI Suppression Filter 120+/-25% at 100MHz 3A @85;0.75;Murata Electronics;BLM18KG121TN1D;81-BLM18KG121TN1D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/BLM18KG121TN1D?qs=rvfpa0%252BU10PYAwVv0fw24Q%3D%3D
19;1;FL2;LFB182G45CGFD436;alecot:LFB182G45CGFD436;alecot:LFB182G45CGFD436;https://www.mouser.fr/datasheet/2/281/murata_LFB182G45CGFD436-1186332.pdf;;Signal Conditioning;0.65;Murata Electronics;LFB182G45CGFD436;81-LFB182G45CGFD436;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LFB182G45CGFD436?qs=5aG0NVq1C4xoKNFbA5uf0A%3D%3D
20;2;H1, H2;MountingHole_Pad;Mechanical:MountingHole_Pad;MountingHole:MountingHole_2.2mm_M2_ISO7380_Pad;~;;;;;;;
21;1;H3;MountingHole;Mechanical:MountingHole;MountingHole:MountingHole_2.2mm_M2_ISO7380;~;;;;;;;
22;1;IC1;~;alecot:LMR50410Y5FQDBVRQ1;alecot:SOT95P280X145-6N;https://www.ti.com/lit/ds/symlink/lmr50410-q1.pdf;;Switching Voltage Regulators Automotive qualified SIMPLE SWITCHER 4-V to 36-V, 1-A synchronous step-down converter;1.45;Texas Instruments;LMR50410Y5FQDBVRQ1;595-R50410Y5FQDBVRQ1;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMR50410Y5FQDBVRQ1?qs=81r%252BiQLm7BR57cLsTbTr9w%3D%3D
23;1;IC2;~;alecot:TMCS1101A2BQDRQ1;alecot:SOIC127P600X175-8N;https://www.ti.com/lit/ds/symlink/tmcs1101-q1.pdf?ts=1643120553885&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DTMCS1101A2BQDRQ1;;Board Mount Current Sensors Automotive, precisio n isolated current;1.75;Texas Instruments;TMCS1101A2BQDRQ1;595-TMCS1101A2BQDRQ1;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMCS1101A2BQDRQ1?qs=QNEnbhJQKvYPHFSE5sdldg%3D%3D
24;1;IC3;~;alecot:TLV76133DCYR;alecot:SOT230P700X180-4N;https://www.ti.com/lit/ds/symlink/tlv761.pdf?ts=1679984111185&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DTLV76133DCYR%2526nr%253D2;;Linear Voltage Regulators 1-A 16-V high-PSRR linear voltage regulator;1.8;Texas Instruments;TLV76133DCYR;595-TLV76133DCYR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV76133DCYR?qs=9vOqFld9vZV5BPjUhjTZUA%3D%3D
25;1;IC4;~;alecot:TLV70450DBVT;alecot:SOT95P280X145-5N;http://www.ti.com/lit/ds/symlink/tlv704.pdf;;24V 150mA Low IQ LDO Regulator SOT-23-5 Texas Instruments TLV70450DBVT, LDO Voltage Regulator, 150mA, 5 V;1.45;Texas Instruments;TLV70450DBVT;595-TLV70450DBVT;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV70450DBVT?qs=O1HRStiETChf4U3Nno5bLA%3D%3D
26;1;IC5;~;alecot:AMC1350DWVR;alecot:SOIC127P1150X280-8N;https://www.ti.com/lit/ds/symlink/amc1350.pdf?ts=1632455585396&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DPAMC1350DWVR;;SOIC;2.8;Texas Instruments;AMC1350DWVR;595-AMC1350DWVR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/AMC1350DWVR?qs=Rp5uXu7WBW%2FANH2mDTT%252Bkg%3D%3D
27;1;IC6;~;alecot:STM32WB55RGV6TR;alecot:QFN40P800X800X100-69N-D;https://www.st.com/resource/en/datasheet/stm32wb55cc.pdf;;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32 MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256;1;STMicroelectronics;STM32WB55RGV6TR;511-STM32WB55RGV6TR;https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32WB55RGV6TR?qs=vLWxofP3U2xn6OzpwEu0EA%3D%3D
